Age,Industry,Job Title,Annual Salary,Monetary Compensation,Currency,Country of Employment,State (USA),Overall Number of Years of Experience,Number of Years of Experience in Your Field,Highest Level of Education,Gender,Ethnicity
45-54,Education (Primary/Secondary),Science teacher,70000.0,0.0,USD,USA,New York,21 - 30 years,21 - 30 years,Master's degree,Male,White
25-34,Health care,Project Manager,101000.0,10000.0,USD,USA,Virginia,8 - 10 years,8 - 10 years,Master's degree,Male,White
35-44,Computing or Tech,Staff Site Reliability Engineer,187500.0,15000.0,USD,USA,Pennsylvania,21 - 30 years,5-7 years,High School,Male,White
35-44,Social Work,Program director ,74000.0,0.0,USD,USA,Minnesota,11 - 20 years,11 - 20 years,Master's degree,Female,White
45-54,Computing or Tech,Principal member of Technical Staff,196000.0,40000.0,USD,USA,Washington,21 - 30 years,21 - 30 years,Master's degree,Male,White
25-34,Sales,New sales ,92000.0,30000.0,USD,USA,Ohio,5-7 years,5-7 years,College degree,Female,White
25-34,Law,In-House Counsel,100000.0,30000.0,CAD,Canada,Outside of the US,5-7 years,1 year or less,"Professional degree (MD, JD, etc.)",Female,White
35-44,Property or Construction,Location Analyst,78000.0,3500.0,USD,USA,Missouri,11 - 20 years,5-7 years,Master's degree,Female,White
18-24,Computing or Tech,Project Based Escalated CSR Rep and Specialized QA Auditor,36958.0,1500.0,USD,USA,Oklahoma,11 - 20 years,2 - 4 years,High School,Male,White
25-34,Computing or Tech,Privacy Program Manager,163000.0,30000.0,USD,USA,Illinois,8 - 10 years,8 - 10 years,Master's degree,Female,Black or African American
25-34,Utilities & Telecommunications,Leasing Administrator ,41000.0,0.0,USD,USA,Texas,8 - 10 years,1 year or less,Master's degree,Female,White
35-44,Computing or Tech,Consulting Manager,150000.0,40000.0,USD,USA,Georgia,11 - 20 years,5-7 years,Master's degree,Female,White
55-64,Property or Construction,Human Resources Manager,45000.0,0.0,USD,USA,Georgia,31 - 40 years,8 - 10 years,College degree,Female,White
45-54,Health care,Medical supply tech,37500.0,1000.0,USD,USA,Washington,11 - 20 years,11 - 20 years,Some college,Female,Another option not listed here or prefer not to answer
35-44,Health care,"Director, Revenue Cycle",115000.0,11500.0,USD,USA,Minnesota,11 - 20 years,11 - 20 years,Master's degree,Female,White
55-64,Media & Digital,"Graphic Designer, Major Accounts",53800.0,1000.0,USD,USA,Alabama,31 - 40 years,31 - 40 years,College degree,Female,White
25-34,Nonprofits,Assistant Administrator,62063.0,0.0,USD,USA,New York,11 - 20 years,11 - 20 years,College degree,Female,White
35-44,Engineering or Manufacturing,Hydrogeologist,75200.0,5000.0,USD,USA,Nevada,8 - 10 years,5-7 years,Master's degree,Male,White
25-34,Ed tech,Education Program Coordinator,75000.0,0.0,CAD,Canada,Outside of the US,8 - 10 years,1 year or less,College degree,Female,White
35-44,Veterinary ,Technician ,52000.0,0.0,USD,USA,Florida,21 - 30 years,21 - 30 years,College degree,Female,White
25-34,"Accounting, Banking & Finance",Assistant Branch Manager ,47750.0,4000.0,CAD,Canada,Outside of the US,2 - 4 years,2 - 4 years,College degree,Non-binary,White
35-44,Engineering or Manufacturing,Senior financial analyst,86000.0,3200.0,USD,USA,Ohio,11 - 20 years,11 - 20 years,Master's degree,Female,White
55-64,"Accounting, Banking & Finance",Senior accountant CPA ,87000.0,6000.0,USD,USA,Georgia,11 - 20 years,5-7 years,Master's degree,Female,White
25-34,Education (Higher Education),Administrative Manager,60000.0,0.0,USD,USA,Ohio,5-7 years,2 - 4 years,College degree,Female,White
25-34,Computing or Tech,Testing Manager,72000.0,21000.0,USD,USA,Pennsylvania,5-7 years,5-7 years,Master's degree,Female,White
25-34,"Accounting, Banking & Finance",Associate Credit Analyst,58240.0,1500.0,USD,USA,California,2 - 4 years,1 year or less,College degree,Female,Asian or Asian American
35-44,Sales,Wine Steward,34528.0,4000.0,USD,USA,Texas,21 - 30 years,2 - 4 years,Master's degree,Female,White
45-54,Government and Public Administration,Director,171000.0,0.0,USD,USA,New York,11 - 20 years,8 - 10 years,Master's degree,Female,Asian or Asian American
35-44,Media & Digital,Director Product Management,175000.0,10000.0,USD,USA,Oregon,11 - 20 years,8 - 10 years,Some college,Female,White
25-34,Computing or Tech,Systems Engineer,77000.0,12000.0,USD,USA,Arkansas,2 - 4 years,2 - 4 years,College degree,Male,White
25-34,Health care,Business Systems Analyst,80000.0,5000.0,USD,USA,Washington,8 - 10 years,2 - 4 years,College degree,Female,White
25-34,Engineering or Manufacturing,Assistant staff,86000.0,0.0,USD,USA,Massachusetts,5-7 years,5-7 years,College degree,Female,White
25-34,Engineering or Manufacturing,Lab Director,112000.0,1700.0,USD,USA,New Jersey,8 - 10 years,8 - 10 years,Master's degree,Male,White
65 or over,Health care,Physician Assistant,134000.0,3500.0,USD,USA,California,21 - 30 years,11 - 20 years,Master's degree,Female,White
35-44,Literature,Funding and Program coordinator,54000.0,0.0,CAD,Canada,Outside of the US,11 - 20 years,2 - 4 years,PhD,Female,White
25-34,Government and Public Administration,Investigator,55000.0,0.0,USD,USA,Illinois,5-7 years,2 - 4 years,College degree,Female,Another option not listed here or prefer not to answer
18-24,Engineering or Manufacturing,Design Engineer,79000.0,10000.0,USD,USA,Florida,1 year or less,1 year or less,Master's degree,Female,White
35-44,"Accounting, Banking & Finance",Associate Director Development,152000.0,8000.0,USD,USA,Michigan,11 - 20 years,11 - 20 years,College degree,Male,White
35-44,Property or Construction,Sales process manager ,92000.0,0.0,AUD/NZD,New Zealand,Outside of the US,11 - 20 years,5-7 years,Master's degree,Female,White
18-24,Media & Digital,Digital Marketing Specialist,48000.0,1000.0,USD,USA,North Carolina,2 - 4 years,2 - 4 years,College degree,Female,White
25-34,Engineering or Manufacturing,Commercial Specialist,45760.0,9000.0,USD,USA,Texas,5-7 years,2 - 4 years,College degree,Non-binary,White
35-44,Nonprofits,Program Director,127000.0,2000.0,USD,USA,Virginia,11 - 20 years,8 - 10 years,College degree,Female,"Hispanic, Latino, or Spanish origin"
45-54,Engineering or Manufacturing,Production Control Coordinator,47000.0,500.0,USD,USA,Pennsylvania,21 - 30 years,1 year or less,College degree,Female,White
45-54,Computing or Tech,"Supervisor, Surgery/Anesthesia EHR Module",109700.0,2200.0,USD,USA,Wisconsin,21 - 30 years,2 - 4 years,Master's degree,Female,White
35-44,Engineering or Manufacturing,Industrial hygiene specialist ,115000.0,11500.0,USD,USA,Minnesota,11 - 20 years,8 - 10 years,Master's degree,Female,White
35-44,Government and Public Administration,Team Lead,112000.0,0.0,CAD,Canada,Outside of the US,8 - 10 years,8 - 10 years,PhD,Female,White
45-54,Education (Higher Education),Program Assistant,38750.0,0.0,USD,USA,Illinois,21 - 30 years,2 - 4 years,College degree,Female,White
25-34,Media & Digital,Director Media,245000.0,120000.0,USD,USA,New York,11 - 20 years,11 - 20 years,Master's degree,Male,White
55-64,Law,Legal secretary,85000.0,8000.0,USD,USA,California,31 - 40 years,21 - 30 years,Master's degree,Female,White
45-54,Nonprofits,Director of Operations ,180.0,0.0,USD,USA,District of Columbia,21 - 30 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Female,Another option not listed here or prefer not to answer
25-34,Utilities & Telecommunications,Fiber Engineer,50000.0,20000.0,USD,USA,Oregon,11 - 20 years,2 - 4 years,College degree,Male,White
25-34,Business or Consulting,Vice President,160000.0,70000.0,USD,USA,New York,5-7 years,2 - 4 years,Master's degree,Female,White
45-54,Computing or Tech,Infrastructure Engineer,125000.0,0.0,USD,USA,North Carolina,21 - 30 years,21 - 30 years,Some college,Male,White
25-34,"Marketing, Advertising & PR",Market Research Analyst,44500.0,1000.0,USD,USA,North Carolina,8 - 10 years,8 - 10 years,College degree,Female,White
35-44,Nonprofits,Program Manager,83000.0,0.0,CAD,Canada,Outside of the US,11 - 20 years,11 - 20 years,Master's degree,Female,White
25-34,Computing or Tech,Principal Technical Writer,135000.0,20000.0,USD,USA,Massachusetts,5-7 years,5-7 years,College degree,Female,White
55-64,Nonprofits,Grant Writer,52000.0,0.0,USD,USA,Oregon,31 - 40 years,11 - 20 years,College degree,Female,White
25-34,Sales,Sales Program Manager,140000.0,5000.0,USD,USA,Texas,8 - 10 years,5-7 years,Master's degree,Female,White
35-44,Software,Office Manager,60000.0,0.0,USD,USA,Nebraska,11 - 20 years,11 - 20 years,College degree,Female,White
35-44,"Accounting, Banking & Finance",Assistant Controller,66400.0,0.0,USD,USA,Illinois,11 - 20 years,11 - 20 years,Master's degree,Female,White
25-34,Computing or Tech,Manager of Business Intelligence,143000.0,21000.0,USD,USA,Massachusetts,5-7 years,5-7 years,College degree,Male,White
45-54,Government and Public Administration,Program Analyst,118000.0,3500.0,USD,USA,District of Columbia,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Female,Black or African American
25-34,Utilities & Telecommunications,Procurement Analyst,75000.0,0.0,USD,USA,Arizona,5-7 years,5-7 years,College degree,Female,White
25-34,Computing or Tech,Staff Scientist/Engineer 1,85550.0,6000.0,USD,USA,North Carolina,5-7 years,2 - 4 years,PhD,Female,Asian or Asian American
25-34,Computing or Tech,Senior Data Analyst,110000.0,20000.0,USD,USA,New York,5-7 years,5-7 years,College degree,Male,Asian or Asian American
25-34,"Accounting, Banking & Finance",Senior Payroll Specialist,70000.0,7000.0,USD,USA,Arizona,11 - 20 years,2 - 4 years,College degree,Female,White
55-64,Nonprofits,Deputy CEO,267500.0,15000.0,AUD/NZD,Australia,Outside of the US,21 - 30 years,21 - 30 years,PhD,Female,White
35-44,Science,Clinical Lab Scientist II,65000.0,3000.0,USD,USA,Georgia,11 - 20 years,11 - 20 years,College degree,Female,White
25-34,Education (Higher Education),Assistive Technology Manager,80000.0,0.0,USD,USA,New York,5-7 years,2 - 4 years,Master's degree,Female,White
25-34,Engineering or Manufacturing,Shipping Manager ,65000.0,6500.0,USD,USA,Michigan,5-7 years,1 year or less,College degree,Female,White
25-34,Government and Public Administration,IT Security Manager,137000.0,0.0,USD,USA,California,8 - 10 years,5-7 years,Master's degree,Female,White
35-44,Law,Senior Legal Editor,213000.0,12000.0,USD,USA,New York,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Female,"Hispanic, Latino, or Spanish origin"
25-34,"Accounting, Banking & Finance",Finance manager,110000.0,19000.0,USD,USA,South Carolina,8 - 10 years,8 - 10 years,Master's degree,Male,Another option not listed here or prefer not to answer
18-24,Media & Digital,Digital Producer,45000.0,500.0,USD,USA,Minnesota,2 - 4 years,2 - 4 years,College degree,Female,White
35-44,Entertainment,Theatre Technical Director,42000.0,0.0,USD,USA,Rhode Island,21 - 30 years,11 - 20 years,College degree,Other or prefer not to answer,White
25-34,Computing or Tech,Marketing Manager,76000.0,5000.0,USD,USA,Colorado,5-7 years,5-7 years,College degree,Female,"Asian or Asian American, White"
35-44,Agriculture or Forestry,Administrative Assistant,39520.0,500.0,USD,USA,Kansas,21 - 30 years,5-7 years,College degree,Female,White
45-54,Government and Public Administration,Attorney,172500.0,0.0,USD,USA,Virginia,21 - 30 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Female,White
35-44,Computing or Tech,Program Manager,170000.0,0.0,USD,USA,Virginia,11 - 20 years,11 - 20 years,Master's degree,Female,White
35-44,Media & Digital,Media Researcher,64100.0,2000.0,USD,USA,New York,2 - 4 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Female,Black or African American
25-34,Business or Consulting,Consultant,120000.0,25000.0,GBP,England,Outside of the US,11 - 20 years,5-7 years,PhD,Male,White
25-34,Education (Higher Education),Assistant to the Dean,58000.0,3000.0,USD,USA,Massachusetts,5-7 years,2 - 4 years,College degree,Female,White
55-64,Computing or Tech,Engineer,156000.0,34000.0,USD,USA,Massachusetts,31 - 40 years,31 - 40 years,College degree,Male,White
25-34,Environment,Environmental Consultant,730000.0,0.0,Other,Australia,Outside of the US,8 - 10 years,2 - 4 years,College degree,Female,White
25-34,Government and Public Administration,Library Assistant,36545.0,0.0,USD,USA,Arizona,5-7 years,2 - 4 years,College degree,Non-binary,White
35-44,Business or Consulting,Senior Manager,177000.0,10000.0,USD,USA,Illinois,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Female,Asian or Asian American
45-54,Social Work,Assistant Director of the Social Work Department,77000.0,0.0,USD,USA,New Hampshire,11 - 20 years,8 - 10 years,Master's degree,Female,White
55-64,Health care,Clinician III,70000.0,5200.0,USD,USA,Connecticut,31 - 40 years,21 - 30 years,Master's degree,Female,White
35-44,Education (Higher Education),Receptionist,40000.0,0.0,CAD,Canada,Outside of the US,11 - 20 years,11 - 20 years,High School,Male,Native American or Alaska Native
35-44,Business or Consulting,Consultant ,132500.0,0.0,USD,USA,District of Columbia,11 - 20 years,8 - 10 years,Master's degree,Female,"Hispanic, Latino, or Spanish origin, White"
25-34,Insurance,Recruiting Coordinator,45000.0,4500.0,USD,USA,Washington,5-7 years,2 - 4 years,Master's degree,Non-binary,White
25-34,Engineering or Manufacturing,Operations Manager,60000.0,12000.0,EUR,Argentina,Outside of the US,5-7 years,2 - 4 years,Master's degree,Female,White
25-34,"Accounting, Banking & Finance",Senior Client Advisor,55000.0,500.0,USD,USA,Massachusetts,5-7 years,2 - 4 years,College degree,Female,White
55-64,Education (Higher Education),Senior Admissions Advisor,59713.0,2000.0,USD,USA,New York,5-7 years,2 - 4 years,Master's degree,Female,White
25-34,Health care,Senior Data Analyst,100000.0,0.0,USD,USA,California,1 year or less,1 year or less,Master's degree,Male,Asian or Asian American
25-34,Insurance,Executive Assistant and Admin Manager,54000.0,500.0,USD,USA,California,2 - 4 years,2 - 4 years,College degree,Female,"Hispanic, Latino, or Spanish origin"
25-34,Transport or Logistics,Business Support Associate,42037.0,3000.0,USD,USA,Florida,8 - 10 years,8 - 10 years,College degree,Male,White
18-24,Computing or Tech,Software Engineering Intern,28800.0,0.0,USD,USA,Florida,2 - 4 years,1 year or less,Some college,Male,White
45-54,Recruitment or HR,Director of Operations ,82500.0,0.0,USD,USA,Michigan,21 - 30 years,8 - 10 years,College degree,Female,White
25-34,Health care,Nurse Practitioner,90000.0,0.0,USD,USA,Rhode Island,1 year or less,1 year or less,Master's degree,Male,White
35-44,Hospitality & Events,Director of Guest Experience,115000.0,0.0,USD,USA,New York,8 - 10 years,2 - 4 years,PhD,Female,White
25-34,"Accounting, Banking & Finance",Chief of Staff,70000.0,10000.0,USD,USA,Kentucky,8 - 10 years,2 - 4 years,Master's degree,Female,White
18-24,"Leisure, Sport & Tourism",Order Processor,19760.0,0.0,USD,USA,Georgia,1 year or less,1 year or less,Some college,Male,White
18-24,Business or Consulting,Business Analyst ,72937.0,16212.0,USD,USA,Georgia,1 year or less,1 year or less,College degree,Male,White
18-24,Business or Consulting,Business Analyst,72937.0,16212.0,USD,USA,Georgia,1 year or less,1 year or less,College degree,Male,White
25-34,Insurance,Process Consultant,60000.0,13000.0,USD,USA,Ohio,2 - 4 years,1 year or less,College degree,Non-binary,White
25-34,Engineering or Manufacturing,Sales Engineer,94710.0,4000.0,CAD,Canada,Outside of the US,8 - 10 years,2 - 4 years,College degree,Female,White
35-44,Health care,psychiatric nurse practitioner,119000.0,12000.0,USD,USA,Illinois,5-7 years,5-7 years,Master's degree,Female,Another option not listed here or prefer not to answer
35-44,Computing or Tech,"Manager, Applications Engineering",182601.0,18000.0,USD,USA,California,21 - 30 years,11 - 20 years,Master's degree,Female,White
45-54,Pharma R&D,operations manager,165000.0,45000.0,USD,USA,New Jersey,21 - 30 years,21 - 30 years,Master's degree,Female,White
35-44,Health care,Department manager,130000.0,500.0,USD,USA,New Jersey,11 - 20 years,1 year or less,Master's degree,Female,White
25-34,Computing or Tech,Sales Operations Manager ,100000.0,10000.0,USD,USA,Massachusetts,5-7 years,2 - 4 years,College degree,Female,White
25-34,Computing or Tech,Sales Engineer,90000.0,10000.0,USD,USA,Illinois,5-7 years,5-7 years,College degree,Female,White
25-34,"Marketing, Advertising & PR",Account Supervisor,85000.0,0.0,USD,USA,Illinois,5-7 years,5-7 years,College degree,Female,White
25-34,Engineering or Manufacturing,Proposal Coordinator,72328.0,1500.0,USD,USA,District of Columbia,5-7 years,5-7 years,College degree,Female,White
